School Type,School District or Name,MMR Vaccination Rate,Age Group,metric,Size_10,Size_25,Size_100,Size_250,Size_500,Size_750,Size_1000,Size_1500,Size_2500,Size_500,average_school_size,metric_average_school_size
Public ISD,LITTLEFIELD ISD,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,308,
Public ISD,LITTLEFIELD ISD,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,308,1
Public ISD,LIVINGSTON ISD,89.6,Kindergarten,probability_exceeding_10_total_cases,0,0,0.1355,0.346,0.3905,0.3905,0.4105,0.4045,0.414,0.3965,542,0.3905
Public ISD,LIVINGSTON ISD,89.6,Kindergarten,total_infected_mean,1.613,1.8915,4.2875,8.0325,13.785,18.936,25.198,36.199,60.0305,111.34,542,14.650368
Public ISD,LLANO ISD,92.1,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.173,0.2245,0.2495,0.2435,0.253,0.266,0.25,492,0.222852
Public ISD,LLANO ISD,92.1,Kindergarten,total_infected_mean,1,1.3705,2.691,4.4455,6.2285,8.144,9.0445,11.3525,15.925,21.7895,492,6.171444
Public ISD,LOCKHART ISD,97.1,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0.002,0.005,0.0075,0.0075,0.0095,0.011,750,0.005
Public ISD,LOCKHART ISD,97.1,Kindergarten,total_infected_mean,1,1,1.284,1.62,1.6245,1.6765,1.689,1.722,1.7485,1.764,750,1.6765
Public ISD,LOCKNEY ISD,92,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.1665,0.235,0.2655,0.2345,0.272,0.2845,0.2725,90,
Public ISD,LOCKNEY ISD,92,Kindergarten,total_infected_mean,1,1.381,2.665,4.333,6.298,8.1265,8.676,12.2455,17.5345,24.694,90,2.4938
Public ISD,LOMETA ISD,85,Kindergarten,probability_exceeding_10_total_cases,0,0,0.452,0.549,0.5635,0.5725,0.5725,0.5615,0.583,0.593,316,0.552828
Public ISD,LOMETA ISD,85,Kindergarten,total_infected_mean,1.6085,2.5795,7.449,17.983,35.6575,55.0165,72.23,106.4715,183.761,375.704,316,22.649068
Public ISD,LONDON ISD,93.5,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.0945,0.141,0.1565,0.1445,0.156,0.1865,0.1815,452,0.132072
Public ISD,LONDON ISD,93.5,Kindergarten,total_infected_mean,1,1.3975,2.3165,3.3715,4.112,4.909,4.7715,5.728,7.0105,8.3065,452,3.969824
Public ISD,LONE OAK ISD,94.2,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.0565,0.0955,0.119,0.1225,0.126,0.1355,0.1485,253,0.056968
Public ISD,LONE OAK ISD,94.2,Kindergarten,total_infected_mean,1,1.3775,2.0225,2.897,3.384,3.839,4.0965,4.1435,4.836,5.921,253,2.902844
Public ISD,LONE STAR LANGUAGE ACADEMY,89.4,Kindergarten,probability_exceeding_10_total_cases,0,0,0.1225,0.35,0.377,0.4225,0.431,0.4115,0.424,0.421,,0.377
Public ISD,LONE STAR LANGUAGE ACADEMY,89.4,Kindergarten,total_infected_mean,1.619,1.9435,4.2345,7.9165,13.41,21.2695,27.1345,37.909,63.6305,121.855,,13.41
Public ISD,LONGVIEW ISD,96.4,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0.006,0.0125,0.019,0.0195,0.0205,0.0315,574,0.007924
Public ISD,LONGVIEW ISD,96.4,Kindergarten,total_infected_mean,1,1,1.482,1.6955,1.9105,1.9345,2.01,2.0765,2.034,2.196,574,1.917604
Public ISD,LOOP ISD,46.2,Kindergarten,probability_exceeding_10_total_cases,0,0.8925,0.9005,0.8885,0.899,0.8915,0.9035,0.902,0.9135,0.8825,150,0.8965
Public ISD,LOOP ISD,46.2,Kindergarten,total_infected_mean,5.4415,12.609,48.714,120.033,241.881,360.1765,486.049,727.817,1228.4315,2373.4625,150,72.487
Public ISD,LORAINE ISD,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,141,
Public ISD,LORAINE ISD,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,141,1
Public ISD,LORENA ISD,97.5,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0.0015,0.0015,0.0025,0.0055,0.005,454,
Public ISD,LORENA ISD,97.5,Kindergarten,total_infected_mean,1,1,1.284,1.4775,1.5095,1.5415,1.4925,1.5165,1.6,1.637,454,1.503612
Public ISD,LORENZO ISD,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,207,
Public ISD,LORENZO ISD,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,207,1
Public ISD,LOS FRESNOS CISD,98.6,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,728,
Public ISD,LOS FRESNOS CISD,98.6,Kindergarten,total_infected_mean,1,1,1.141,1.1965,1.216,1.268,1.229,1.239,1.246,1.257,728,1.263424
Public ISD,LOUISE ISD,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,178,
Public ISD,LOUISE ISD,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,178,1
Public ISD,LOVEJOY ISD,93.1,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.1155,0.1755,0.182,0.1965,0.201,0.2065,0.2105,669,0.179894
Public ISD,LOVEJOY ISD,93.1,Kindergarten,total_infected_mean,1,1.3855,2.2845,3.642,4.77,5.486,6.2815,7.349,9.1065,12.3575,669,5.254016
Public ISD,LOVELADY ISD,92,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.1665,0.235,0.2655,0.2345,0.272,0.2845,0.2725,257,0.168418
Public ISD,LOVELADY ISD,92,Kindergarten,total_infected_mean,1,1.381,2.665,4.333,6.298,8.1265,8.676,12.2455,17.5345,24.694,257,4.38802
Public ISD,LUBBOCK ISD,89.8,Kindergarten,probability_exceeding_10_total_cases,0,0,0.141,0.3085,0.359,0.3815,0.356,0.3885,0.4,0.4025,507,0.35963
Public ISD,LUBBOCK ISD,89.8,Kindergarten,total_infected_mean,1.625,1.906,4.3085,7.1055,11.7335,17.528,20.5205,32.0535,52.9695,103.543,507,11.895746
Public ISD,LUBBOCK-COOPER ISD,95.7,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.0025,0.025,0.0485,0.041,0.046,0.059,0.0595,803,0.04691
Public ISD,LUBBOCK-COOPER ISD,95.7,Kindergarten,total_infected_mean,1,1.4025,1.746,2.003,2.1955,2.5455,2.458,2.624,2.717,2.673,803,2.52695
Public ISD,LUEDERS-AVOCA ISD,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,44,
Public ISD,LUEDERS-AVOCA ISD,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,44,1
Public ISD,LUFKIN ISD,96.8,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0.0035,0.008,0.01,0.0145,0.015,0.014,429,
Public ISD,LUFKIN ISD,96.8,Kindergarten,total_infected_mean,1,1,1.492,1.5395,1.757,1.8725,1.818,1.9025,1.8745,1.841,429,1.69523
Public ISD,LULING ISD,96.4,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0.006,0.0125,0.019,0.0195,0.0205,0.0315,481,
Public ISD,LULING ISD,96.4,Kindergarten,total_infected_mean,1,1,1.482,1.6955,1.9105,1.9345,2.01,2.0765,2.034,2.196,481,1.89416
Public ISD,LUMBERTON ISD,92.3,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.1695,0.213,0.2265,0.245,0.244,0.252,0.2545,727,0.225258
Public ISD,LUMBERTON ISD,92.3,Kindergarten,total_infected_mean,1,1.3775,2.707,4.2705,5.8965,7.0895,8.6015,10.614,14.1555,20.6645,727,6.979744
Public ISD,LYFORD CISD,98.9,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,465,
Public ISD,LYFORD CISD,98.9,Kindergarten,total_infected_mean,1,1,1.1425,1.11,1.1755,1.191,1.1625,1.215,1.199,1.182,465,1.16633
Public ISD,LYTLE ISD,99,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,332,
Public ISD,LYTLE ISD,99,Kindergarten,total_infected_mean,1,1,1,1.123,1.139,1.1425,1.1515,1.174,1.1685,1.183,332,1.128248
Private School,Lake Country Christian School,91.7,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.2105,0.2465,0.273,0.259,0.275,0.291,0.3035,,0.2465
Private School,Lake Country Christian School,91.7,Kindergarten,total_infected_mean,1,1.9005,3.158,4.8295,7.155,9.1325,10.2115,12.821,20.7115,34.389,,7.155
Private School,Lakehill Preparatory School,92.9,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.1235,0.1695,0.198,0.2055,0.217,0.21,0.2165,,0.1695
Private School,Lakehill Preparatory School,92.9,Kindergarten,total_infected_mean,1,1.3835,2.727,3.792,4.77,5.9465,6.7495,8.169,10.173,14.0315,,4.77
Private School,Lakeland Christian Academy,52.6,Kindergarten,probability_exceeding_10_total_cases,0,0.8575,0.885,0.8915,0.8825,0.8795,0.8875,0.886,0.884,0.8935,,0.8825
Private School,Lakeland Christian Academy,52.6,Kindergarten,total_infected_mean,4.383,10.4455,42.556,106.119,209.1115,313.004,420.506,629.602,1046.9045,2116.165,,209.1115
Private School,Legacy Christian Academy,78.4,Kindergarten,probability_exceeding_10_total_cases,0,0,0.68,0.6925,0.709,0.7105,0.704,0.712,0.7105,0.7115,,0.709
Private School,Legacy Christian Academy,78.4,Kindergarten,total_infected_mean,2.4295,4.31,14.5475,35.8215,73.143,110.2155,145.406,220.2965,366.779,733.2105,,73.143
Private School,Legacy Christian Academy Beaumont,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,,
Private School,Legacy Christian Academy Beaumont,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,,1
Private School,Legacy Preperatory Christian Academy,69.2,Kindergarten,probability_exceeding_10_total_cases,0,0,0.81,0.81,0.811,0.8135,0.8,0.7985,0.806,0.794,,0.811
Private School,Legacy Preperatory Christian Academy,69.2,Kindergarten,total_infected_mean,3.37,6.2435,24.9925,61.86,123.79,186.155,244.1565,365.3625,614.7605,1210.955,,123.79
Private School,Liberty Christian School,85.1,Kindergarten,probability_exceeding_10_total_cases,0,0,0.4385,0.5675,0.581,0.567,0.576,0.566,0.586,0.593,,0.581
Private School,Liberty Christian School,85.1,Kindergarten,total_infected_mean,1.6155,2.5595,7.2115,18.6195,36.217,53.386,72.2315,106.9745,184.0015,373.322,,36.217
Private School,Life Lutheran School,66.7,Kindergarten,probability_exceeding_10_total_cases,0,0,0.8255,0.8175,0.8225,0.81,0.8135,0.8295,0.8115,0.816,,0.8225
Private School,Life Lutheran School,66.7,Kindergarten,total_infected_mean,3.335,7.2185,28.0205,68.332,136.618,201.3195,269.275,412.1505,671.6785,1349.9575,,136.618
Private School,Lifegate Christian School,85.7,Kindergarten,probability_exceeding_10_total_cases,0,0,0.454,0.535,0.5465,0.5575,0.542,0.5635,0.5945,0.5725,,0.5465
Private School,Lifegate Christian School,85.7,Kindergarten,total_infected_mean,1.6225,2.601,7.413,16.24,32.549,49.707,63.679,99.5605,174.9795,337.332,,32.549
Private School,Lifestyle Christian School,70,Kindergarten,probability_exceeding_10_total_cases,0,0,0.793,0.787,0.795,0.798,0.806,0.8065,0.8105,0.809,,0.795
Private School,Lifestyle Christian School,70,Kindergarten,total_infected_mean,2.412,6.2225,23.652,58.4755,118.099,177.6295,239.2165,358.965,601.183,1200.227,,118.099
Private School,Little Tiger Chinese Immersion School,94.4,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.028,0.0835,0.106,0.1075,0.12,0.1165,0.1245,,0.0835
Private School,Little Tiger Chinese Immersion School,94.4,Kindergarten,total_infected_mean,1,1.3965,1.9825,2.523,3.0385,3.549,3.722,4.2335,4.5625,4.94,,3.0385
Private School,Live Oak Classical School,93.6,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.068,0.1245,0.134,0.161,0.1555,0.175,0.1955,,0.1245
Private School,Live Oak Classical School,93.6,Kindergarten,total_infected_mean,1,1.3855,2.377,3.056,3.8765,4.2015,5.132,5.5405,7.2115,8.9595,,3.8765
Private School,Living Rock Academy,88.9,Kindergarten,probability_exceeding_10_total_cases,0,0,0.2165,0.3915,0.415,0.4405,0.431,0.4425,0.4405,0.429,,0.415
Private School,Living Rock Academy,88.9,Kindergarten,total_infected_mean,1.6195,1.9185,4.833,9.0685,16.051,24.0665,30.1085,46.6675,75.002,145.121,,16.051
Private School,Living Stones Christian School,70.8,Kindergarten,probability_exceeding_10_total_cases,0,0,0.768,0.7925,0.7905,0.8095,0.7955,0.796,0.794,0.7875,,0.7905
Private School,Living Stones Christian School,70.8,Kindergarten,total_infected_mean,2.4035,6.3145,22.9495,57.1955,114.061,175.0485,229.325,344.125,572.4025,1135.3345,,114.061
Private School,Living Water Christian School,90.9,Kindergarten,probability_exceeding_10_total_cases,0,0,0.05,0.2775,0.3095,0.324,0.332,0.3335,0.3195,0.3445,,0.3095
Private School,Living Water Christian School,90.9,Kindergarten,total_infected_mean,1,1.905,3.825,6.0375,9.136,12.508,14.921,19.8895,30.72,57.542,,9.136
Private School,Logos Preparatory School (NAUMS),80,Kindergarten,probability_exceeding_10_total_cases,0,0,0.644,0.67,0.68,0.681,0.686,0.6915,0.697,0.7005,,0.68
Private School,Logos Preparatory School (NAUMS),80,Kindergarten,total_infected_mean,1.6095,3.3515,12.539,31.559,63.813,96.0335,128.7475,195.295,328.0235,659.184,,63.813
Private School,Longview Christian School,52.2,Kindergarten,probability_exceeding_10_total_cases,0,0.862,0.891,0.8885,0.885,0.889,0.873,0.886,0.8885,0.876,,0.885
Private School,Longview Christian School,52.2,Kindergarten,total_infected_mean,4.344,10.5195,42.8465,106.664,211.475,319.0655,417.1335,634.942,1061.178,2092.3685,,211.475
Private School,Loretto Academy,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,,
Private School,Loretto Academy,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,,1
Private School,Lubbock Christian School,81.5,Kindergarten,probability_exceeding_10_total_cases,0,0,0.6055,0.6565,0.6605,0.6705,0.6535,0.6795,0.6635,0.671,,0.6605
Private School,Lubbock Christian School,81.5,Kindergarten,total_infected_mean,1.617,3.3625,11.2045,28.5125,56.682,85.99,111.165,173.832,283.758,572.2585,,56.682
Private School,Lucas Christian Academy,66.7,Kindergarten,probability_exceeding_10_total_cases,0,0,0.8255,0.8175,0.8225,0.81,0.8135,0.8295,0.8115,0.816,,0.8225
Private School,Lucas Christian Academy,66.7,Kindergarten,total_infected_mean,3.335,7.2185,28.0205,68.332,136.618,201.3195,269.275,412.1505,671.6785,1349.9575,,136.618
Private School,Lutheran South Academy Houston,90,Kindergarten,probability_exceeding_10_total_cases,0,0,0.058,0.2995,0.342,0.3515,0.3795,0.3885,0.388,0.3885,,0.342
Private School,Lutheran South Academy Houston,90,Kindergarten,total_infected_mean,1,1.879,3.6575,6.821,11.375,15.5895,21.199,30.666,48.424,92.614,,11.375
Public ISD,MABANK ISD,94.7,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.0305,0.062,0.083,0.083,0.094,0.108,0.112,686,0.077624
Public ISD,MABANK ISD,94.7,Kindergarten,total_infected_mean,1,1.3885,1.972,2.533,2.8595,3.1325,3.0945,3.5955,3.912,4.3295,686,3.062612
Public ISD,MADISONVILLE CISD,99.4,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,594,
Public ISD,MADISONVILLE CISD,99.4,Kindergarten,total_infected_mean,1,1,1,1.059,1.0665,1.084,1.082,1.0845,1.0925,1.1,594,1.07308
Public ISD,MAGNOLIA ISD,93.3,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.096,0.151,0.165,0.1845,0.1885,0.203,0.196,903,0.176934
Public ISD,MAGNOLIA ISD,93.3,Kindergarten,total_infected_mean,1,1.3715,2.3135,3.263,4.371,5.103,6.0135,6.938,8.498,9.8535,903,5.660226
Public ISD,MALAKOFF ISD,91.3,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.2305,0.2765,0.3155,0.2885,0.321,0.312,0.3225,302,0.240068
Public ISD,MALAKOFF ISD,91.3,Kindergarten,total_infected_mean,1,1.9485,3.1625,5.2595,7.9485,11.3225,11.892,17.1985,23.6965,41.851,302,5.818812
Public ISD,MALTA ISD,93.6,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.068,0.1245,0.134,0.161,0.1555,0.175,0.1955,223,
Public ISD,MALTA ISD,93.6,Kindergarten,total_infected_mean,1,1.3855,2.377,3.056,3.8765,4.2015,5.132,5.5405,7.2115,8.9595,223,2.93378
Public ISD,MANARA ACADEMY,93.8,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.06,0.106,0.1415,0.1405,0.147,0.156,0.1595,223,
Public ISD,MANARA ACADEMY,93.8,Kindergarten,total_infected_mean,1,1.3765,2.35,3.0155,3.6365,4.321,4.5345,5.107,6.0885,6.7705,223,2.89571
Public ISD,MANOR ISD,94.9,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.0155,0.0575,0.0745,0.0775,0.092,0.092,0.099,640,0.06702
Public ISD,MANOR ISD,94.9,Kindergarten,total_infected_mean,1,1.391,1.9535,2.3475,2.7985,3.046,3.1885,3.4065,3.628,3.974,640,2.9371
Public ISD,MANSFIELD ISD,95.8,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0.02,0.0355,0.039,0.041,0.047,0.0475,752,0.035528
Public ISD,MANSFIELD ISD,95.8,Kindergarten,total_infected_mean,1,1.3825,1.7735,1.937,2.1,2.3515,2.3795,2.373,2.5195,2.621,752,2.351724
Public ISD,MARATHON ISD,66.7,Kindergarten,probability_exceeding_10_total_cases,0,0,0.8255,0.8175,0.8225,0.81,0.8135,0.8295,0.8115,0.816,58,
Public ISD,MARATHON ISD,66.7,Kindergarten,total_infected_mean,3.335,7.2185,28.0205,68.332,136.618,201.3195,269.275,412.1505,671.6785,1349.9575,58,16.37138
Public ISD,MARBLE FALLS ISD,96,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.0005,0.012,0.02,0.0235,0.0335,0.0435,0.045,571,0.014272
Public ISD,MARBLE FALLS ISD,96,Kindergarten,total_infected_mean,1,1,1.4835,1.847,2.057,2.1205,2.1945,2.325,2.437,2.447,571,2.075034
Public ISD,MARFA ISD,55.6,Kindergarten,probability_exceeding_10_total_cases,0,0.876,0.8705,0.879,0.881,0.879,0.8775,0.874,0.8625,0.873,194,0.875826667
Public ISD,MARFA ISD,55.6,Kindergarten,total_infected_mean,4.2975,10.6265,39.2625,97.5535,195.4775,292.498,389.2775,581.5125,956.427,1935.9925,194,75.79152667
Public ISD,MARION ISD,98.2,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0.0005,0,0.001,0,0,303,
Public ISD,MARION ISD,98.2,Kindergarten,total_infected_mean,1,1,1.138,1.2785,1.287,1.3665,1.345,1.35,1.3985,1.3795,303,1.280302
Public ISD,MARLIN ISD,98.5,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,224,
Public ISD,MARLIN ISD,98.5,Kindergarten,total_infected_mean,1,1,1.122,1.19,1.2525,1.263,1.2635,1.2845,1.311,1.288,224,1.178213333
Public ISD,MARSHALL ISD,96.4,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0.006,0.0125,0.019,0.0195,0.0205,0.0315,619,0.009094
Public ISD,MARSHALL ISD,96.4,Kindergarten,total_infected_mean,1,1,1.482,1.6955,1.9105,1.9345,2.01,2.0765,2.034,2.196,619,1.921924
Public ISD,MART ISD,97.8,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0.0005,0.0025,0.001,0.002,302,
Public ISD,MART ISD,97.8,Kindergarten,total_infected_mean,1,1,1.3205,1.351,1.4065,1.419,1.404,1.474,1.4435,1.5025,302,1.362544
Public ISD,MARTINS MILL ISD,94.4,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.028,0.0835,0.106,0.1075,0.12,0.1165,0.1245,248,
Public ISD,MARTINS MILL ISD,94.4,Kindergarten,total_infected_mean,1,1.3965,1.9825,2.523,3.0385,3.549,3.722,4.2335,4.5625,4.94,248,2.515793333
Public ISD,MARTINSVILLE ISD,91.3,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.2305,0.2765,0.3155,0.2885,0.321,0.312,0.3225,313,0.242092
Public ISD,MARTINSVILLE ISD,91.3,Kindergarten,total_infected_mean,1,1.9485,3.1625,5.2595,7.9485,11.3225,11.892,17.1985,23.6965,41.851,313,5.937128
Public ISD,MASON ISD,89.1,Kindergarten,probability_exceeding_10_total_cases,0,0,0.1355,0.3905,0.395,0.4045,0.421,0.432,0.4195,0.417,233,0.3616
Public ISD,MASON ISD,89.1,Kindergarten,total_infected_mean,1.6055,1.952,4.2615,9.08,15.0585,21.7965,28.794,42.9715,67.831,134.269,233,8.533903333
Public ISD,MATAGORDA ISD,85.7,Kindergarten,probability_exceeding_10_total_cases,0,0,0.454,0.535,0.5465,0.5575,0.542,0.5635,0.5945,0.5725,109,0.45886
Public ISD,MATAGORDA ISD,85.7,Kindergarten,total_infected_mean,1.6225,2.601,7.413,16.24,32.549,49.707,63.679,99.5605,174.9795,337.332,109,7.94262
Public ISD,MATHIS ISD,99,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,357,
Public ISD,MATHIS ISD,99,Kindergarten,total_infected_mean,1,1,1,1.123,1.139,1.1425,1.1515,1.174,1.1685,1.183,357,1.129848
Public ISD,MAUD ISD,96.3,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.0015,0.0145,0.018,0.0175,0.0245,0.0325,0.035,450,0.0119
Public ISD,MAUD ISD,96.3,Kindergarten,total_infected_mean,1,1,1.48,1.7865,1.9865,2.0465,1.926,2.2145,2.1935,2.318,450,1.9465
Public ISD,MAY ISD,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,121,
Public ISD,MAY ISD,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,121,1
Public ISD,MAYPEARL ISD,92.4,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.1575,0.206,0.2215,0.2265,0.239,0.238,0.251,302,0.167588
Public ISD,MAYPEARL ISD,92.4,Kindergarten,total_infected_mean,1,1.377,2.659,4.11,5.497,6.8255,7.942,9.8185,13.1565,19.5305,302,4.398496
Public ISD,MCALLEN ISD,98.1,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0.0005,0.0015,0.0005,0.0005,652,
Public ISD,MCALLEN ISD,98.1,Kindergarten,total_infected_mean,1,1,1.132,1.24,1.329,1.406,1.3835,1.407,1.3835,1.3925,652,1.375816
Public ISD,MCCAMEY ISD,95.8,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0.02,0.0355,0.039,0.041,0.047,0.0475,161,
Public ISD,MCCAMEY ISD,95.8,Kindergarten,total_infected_mean,1,1.3825,1.7735,1.937,2.1,2.3515,2.3795,2.373,2.5195,2.621,161,1.83999
Public ISD,MCDADE ISD,91.3,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.2305,0.2765,0.3155,0.2885,0.321,0.312,0.3225,188,
Public ISD,MCDADE ISD,91.3,Kindergarten,total_infected_mean,1,1.9485,3.1625,5.2595,7.9485,11.3225,11.892,17.1985,23.6965,41.851,188,4.39274
Public ISD,MCGREGOR ISD,98.3,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0.0005,0.0005,373,
Public ISD,MCGREGOR ISD,98.3,Kindergarten,total_infected_mean,1,1,1.13,1.269,1.331,1.307,1.3315,1.321,1.337,1.3435,373,1.299504
Public ISD,MCKINNEY ISD,94.9,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.0155,0.0575,0.0745,0.0775,0.092,0.092,0.099,706,0.071508
Public ISD,MCKINNEY ISD,94.9,Kindergarten,total_infected_mean,1,1.391,1.9535,2.3475,2.7985,3.046,3.1885,3.4065,3.628,3.974,706,3.00244
Public ISD,MCLEAN ISD,92.3,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.1695,0.213,0.2265,0.245,0.244,0.252,0.2545,182,
Public ISD,MCLEAN ISD,92.3,Kindergarten,total_infected_mean,1,1.3775,2.707,4.2705,5.8965,7.0895,8.6015,10.614,14.1555,20.6645,182,3.561713333
Public ISD,MCLEOD ISD,93.1,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.1155,0.1755,0.182,0.1965,0.201,0.2065,0.2105,424,0.15726
Public ISD,MCLEOD ISD,93.1,Kindergarten,total_infected_mean,1,1.3855,2.2845,3.642,4.77,5.486,6.2815,7.349,9.1065,12.3575,424,4.427088
Public ISD,MCMULLEN COUNTY ISD,95.4,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.0105,0.0335,0.0495,0.055,0.0655,0.0615,0.065,280,0.01326
Public ISD,MCMULLEN COUNTY ISD,95.4,Kindergarten,total_infected_mean,1,1.3825,1.7555,2.182,2.332,2.6285,2.6725,2.8855,2.882,3.0575,280,2.2
Public ISD,MEADOW ISD,92.9,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.1235,0.1695,0.198,0.2055,0.217,0.21,0.2165,230,
Public ISD,MEADOW ISD,92.9,Kindergarten,total_infected_mean,1,1.3835,2.727,3.792,4.77,5.9465,6.7495,8.169,10.173,14.0315,230,3.65
Public ISD,MEDINA ISD,91.3,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.2305,0.2765,0.3155,0.2885,0.321,0.312,0.3225,243,
Public ISD,MEDINA ISD,91.3,Kindergarten,total_infected_mean,1,1.9485,3.1625,5.2595,7.9485,11.3225,11.892,17.1985,23.6965,41.851,243,5.16164
Public ISD,MEDINA VALLEY ISD,96.6,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0.007,0.012,0.0125,0.02,0.0205,0.0215,1070,0.01355
Public ISD,MEDINA VALLEY ISD,96.6,Kindergarten,total_infected_mean,1,1,1.47,1.688,1.766,1.879,1.8615,1.953,2.047,2.0435,1070,1.87431
Public ISD,MELISSA ISD,93.5,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.0945,0.141,0.1565,0.1445,0.156,0.1865,0.1815,1105,0.146915
Public ISD,MELISSA ISD,93.5,Kindergarten,total_infected_mean,1,1.3975,2.3165,3.3715,4.112,4.909,4.7715,5.728,7.0105,8.3065,1105,4.972365
Public ISD,MEMPHIS ISD,95,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.0195,0.0415,0.0745,0.073,0.0735,0.0805,0.0945,77,
Public ISD,MEMPHIS ISD,95,Kindergarten,total_infected_mean,1,1.3865,1.7315,2.3,2.54,3.0805,2.9855,3.1205,3.3895,3.846,77,1.6257
Public ISD,MENARD ISD,95.2,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.01,0.031,0.0605,0.065,0.0675,0.081,0.073,132,
Public ISD,MENARD ISD,95.2,Kindergarten,total_infected_mean,1,1.382,1.6835,2.211,2.411,2.7375,2.8565,2.8735,3.2775,3.3385,132,1.796033333
Public ISD,MERCEDES ISD,98.7,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,398,
Public ISD,MERCEDES ISD,98.7,Kindergarten,total_infected_mean,1,1,1.129,1.2105,1.1945,1.2015,1.229,1.2315,1.25,1.259,398,1.201028
